Robinson, John (1672-NA);Robinson, John (???1672-NA);Robinson, John (1672-NA)
Robinson, John (NA-NA);Robinson, John (???NA-NA);Robinson, John (NA-NA)
Rogers, John (1560-1580);Rogers, John (active 1560-1580);Rogers, John (1560-1580)
Rogers, John (1627-1665);Rogers, John (1627-1665)
Rogers, John (1679-1729);Rogers, John (1679-1729)
Ross, Alexander (1591-1654);Ross, Alexander (1591-1654)
Ross, Alexander (1647-1720);Ross, Alexander (1647-1720)
Ross, Alexander (NA-NA);Ross, Alexander (???NA-NA);Ross, Alexander (NA-NA)
Ruggles, Thomas (1704-1770);Ruggles, Thomas (1704-1770)
Ruggles, Thomas (1737-1813);Ruggles, Thomas (1737-1813)
Russell, Thomas (1642-1803);Russell, Thomas (active 1642-1642);Russell, Thomas (1642-1803)
Russell, Thomas (NA-1803);Russell, Thomas (1767-1803);Russell, Thomas (NA-1803)
Russell, William (1639-1683);Russell, William (1639-1683)
Russell, William (1741-1793);Russell, William (1741-1793)
Ryland, John (1723-1792);Ryland, John (1723-1792)
Ryland, John (1753-1825);Ryland, John (1753-1825)
Salmon, Thomas (1648-1706);Salmon, Thomas (1648-1706)
Salmon, Thomas (1679-1767);Salmon, Thomas (1679-1767)
Scott, John (1639-1695);Scott, John (1639-1695)
Scott, John (1730-1783);Scott, John (1730-1783)
Scott, Thomas (1580-1626);Scott, Thomas (1580-1626)
Scott, Thomas (1580-1660);Scott, Thomas (NA-1660);Scott, Thomas (1580-1660)
Sewell, John (1734-1802);Sewell, John (1734-1802)
Sewell, John (1793-1802);Sewell, John (active 1793-1793);Sewell, John (1793-1802)
Shakespeare, William (1564-1616);Shakespeare, W;Shakespeare, William;Shakespeare, William (1564-1616);Shakspeare, William
Shaw, John (1559-1625);Shaw, John (1559-1625)
Shaw, John (1614-1689);Shaw, John (1614-1689)
Sheppard, William (NA-1675);Sheppard, William (NA-1675)
Sheppard, William (NA-1724);Sheppard, William (???NA-1724);Sheppard, William (NA-1724)
Sheridan, Thomas (1646-1688);Sheridan, Thomas (1646-1688)
Sheridan, Thomas (1719-1788);Sheridan, Thomas (1719-1788)
Shirley, William (1694-1771);Shirley, William (1694-1771)
Shirley, William (1739-1780);Shirley, William (1739-1780)
Simon, Richard (1632-1712);Simon, Richard (1638-1712);Simon, Richard (1632-1712)
Skinner, John (1624-NA);Skinner, John (1624-1807);Skinner, John (active 1624-1624);Skinner, John (1624-NA)
Skinner, John (1721-1807);Skinner, John (1721-1807)
Southwell, Robert (1561-1595);Southwell, Robert (1561-1595)
