Boris;männlich
Bork;männlich
Borkfried;männlich
Boromil;männlich
Borromeo;männlich
Borya;männlich
Boryenka;männlich
Bosco;männlich
Bosper;männlich
Bosse;männlich
Botan;männlich
Bourke;männlich
Bowes;männlich
Bowie;männlich
Boy;männlich
Boyce;männlich
Boycey;männlich
Boycie;männlich
Boyd;männlich
Brad;männlich
Bradan;männlich
Brade;männlich
Braden;männlich
Bradford;männlich
Bradley;männlich
Bradly;männlich
Bradney;männlich
Brady;unspezifisch
Bradyn;männlich
Braeden;männlich
Bram;männlich
Bran;männlich
Brand;männlich
Branden;männlich
Brander;männlich
Brandolf;männlich
Brandon;männlich
Brandtr;männlich
Brandy;unspezifisch
Brandyn;männlich
Branko;männlich
Brannon;männlich
Brant;männlich
Brantley;männlich
Braulio;männlich
Braxton;männlich
Bray;männlich
Brayan;männlich
Brayden;männlich
Braydon;männlich
Brazil;männlich
Bren;unspezifisch
Brencis;männlich
Brendan;männlich
Brenden;männlich
Brendin;männlich
Brendis;männlich
Brendon;männlich
Brends;männlich
Brennan;männlich
Brennen;männlich
Brent;männlich
Bret;männlich
Brett;unspezifisch
Brew;männlich
Brewer;männlich
Brewster;männlich
Briac;männlich
Brian;männlich
Briano;männlich
Briant;männlich
Brice;männlich
Brien;männlich
Brig;männlich
Brigg;männlich
Briggs;männlich
Brigham;männlich
Brighton;männlich
Brinley;männlich
Brion;männlich
Brisco;männlich
Brit;unspezifisch
Britt;unspezifisch
Brix;männlich
Brnaba;männlich
Brnaby;männlich
Brock;männlich
Brockie;männlich
Brocky;männlich
Brod;männlich
Broddie;männlich
Broddy;männlich
Broderic;männlich
Broderick;männlich
Brodie;männlich
Brody;männlich
Brogio;männlich
Brok;männlich
Bron;männlich
Bronislaw;männlich
Bronnie;männlich
Bronny;männlich
Bronson;männlich
Brook;unspezifisch
Brooke;unspezifisch
Brooks;unspezifisch
Brose;männlich
Bruce;männlich
Brucie;männlich
Bruis;männlich
Brunello;männlich
Brunhard;männlich
Bruno;männlich
Bryan;männlich
Bryant;männlich
Bryanty;männlich
Bryce;männlich
Brycen;männlich
Bryn;unspezifisch
Bryon;männlich
Bryson;männlich
